Symbol,Close,R21,R63,R126,R252,RAM21,RAM63,RAM126,RAM252,Rank21,Rank63,Rank126,Rank252,MR21,MR63,MR126,MR252,POS_COUNT,FINAL_SCREEN_RANK,ELIGIBLE,INELIGIBLE_REASON,MISSING_DAYS,FIRST_DATE,LAST_DATE,N_ROWS,SUSPECT_CORP_ACTION,instrument_key,Vol21,TS21,TS21_POS,B21,Vol63,TS63,TS63_POS,B63,Vol126,TS126,TS126_POS,B126,Vol252,TS252,TS252_POS,B252,MARKET_OUTPERFORMER,STRONG_TREND,STRONG_XS_MOMENTUM,VERY_STRONG_MOMENTUM,CORE_QUALIFIER,FINAL_QUALIFIER,pct_MR252,pct_MR126,pct_RAM252,PROVISIONAL
TITAGARH,837.65,0.007093,-0.091929,0.333944,-0.070208,0.023914,-0.324644,0.811274,-0.193940,68.81,27.03,78.38,44.49,0.030426,-0.078809,0.271533,-0.058863,2.00,58.25,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE615H01020,0.296628,0.007093,True,-0.023332,0.283169,-0.091929,False,-0.013120,0.411629,0.333944,True,0.062410,0.362006,-0.070208,False,-0.011345,False,False,False,False,False,False,44.49,78.38,45.53,0.00
TITAN,4798.50,-0.053177,0.085658,0.172998,0.338792,-0.349598,0.481069,0.636140,1.457556,28.48,77.55,61.33,83.37,-0.029845,0.098778,0.110587,0.350137,3.00,75.93,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE280A01028,0.152108,-0.053177,False,-0.023332,0.178058,0.085658,True,-0.013120,0.271949,0.172998,True,0.062410,0.232439,0.338792,True,-0.011345,True,True,False,False,False,False,83.37,61.33,90.23,0.00
TORNTPHARM,4840.00,-0.034510,0.092600,0.134393,0.350597,-0.167746,0.371685,0.561739,1.600469,44.28,79.21,55.51,84.41,-0.011178,0.105720,0.071982,0.361942,3.00,74.47,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE685A01028,0.205729,-0.034510,False,-0.023332,0.249136,0.092600,True,-0.013120,0.239244,0.134393,True,0.062410,0.219059,0.350597,True,-0.011345,True,True,False,False,False,False,84.41,55.51,92.52,0.00
TORNTPOWER,1258.80,0.012141,-0.124861,-0.129340,-0.007490,0.053610,-0.536087,-0.409108,-0.024154,71.10,17.05,8.52,54.47,0.035473,-0.111741,-0.191751,0.003855,1.00,36.09,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE813H01021,0.226472,0.012141,True,-0.023332,0.232912,-0.124861,False,-0.013120,0.316151,-0.129340,False,0.062410,0.310111,-0.007490,False,-0.011345,False,False,False,False,False,False,54.47,8.52,54.47,0.00
TARIL,279.85,-0.039142,-0.217312,0.051870,-0.445237,-0.127985,-0.641140,0.110234,-0.747899,41.37,2.08,42.62,2.49,-0.015809,-0.204192,-0.010541,-0.433892,1.00,21.54,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE763I01026,0.305830,-0.039142,False,-0.023332,0.338947,-0.217312,False,-0.013120,0.470542,0.051870,True,0.062410,0.595318,-0.445237,False,-0.011345,False,False,False,False,False,False,2.49,42.62,17.46,0.00
TRAVELFOOD,1256.10,-0.049633,-0.072304,0.084528,-0.005542,-0.202442,-0.275562,0.253876,-0.018616,32.85,35.55,47.82,54.68,-0.026301,-0.059184,0.022117,0.005803,1.00,51.93,True,,0,2025-07-14,2026-09-18,294,False,NSE_EQ|INE103V01028,0.245171,-0.049633,False,-0.023332,0.262388,-0.072304,False,-0.013120,0.332949,0.084528,True,0.062410,0.297701,-0.005542,False,-0.011345,True,False,False,False,False,False,54.68,47.82,54.68,0.00
TRENT,2824.00,-0.043684,-0.119097,0.177894,-0.180856,-0.250847,-0.381868,0.486504,-0.552181,38.25,19.13,62.16,28.07,-0.020352,-0.105977,0.115483,-0.169511,1.00,41.75,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE849A01020,0.174148,-0.043684,False,-0.023332,0.311879,-0.119097,False,-0.013120,0.365657,0.177894,True,0.062410,0.327530,-0.180856,False,-0.011345,False,False,False,False,False,False,28.07,62.16,28.27,0.00
TRIDENT,23.22,-0.051858,-0.104512,0.027888,-0.201788,-0.630456,-0.616037,0.094071,-0.683564,29.73,23.28,36.38,23.49,-0.028526,-0.091392,-0.034522,-0.190443,1.00,28.19,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE064C01022,0.082255,-0.051858,False,-0.023332,0.169652,-0.104512,False,-0.013120,0.296461,0.027888,True,0.062410,0.295199,-0.201788,False,-0.011345,False,False,False,False,False,False,23.49,36.38,21.21,0.00
TRITURBINE,567.80,-0.003248,-0.155437,0.228871,0.105960,-0.011627,-0.409308,0.511373,0.284132,64.24,10.60,69.23,67.78,0.020085,-0.142317,0.166461,0.117305,2.00,67.98,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE152M01016,0.279312,-0.003248,False,-0.023332,0.379755,-0.155437,False,-0.013120,0.447563,0.228871,True,0.062410,0.372927,0.105960,True,-0.011345,True,False,False,False,False,False,67.78,69.23,65.90,0.00
TIINDIA,2600.00,-0.121918,-0.208668,0.073360,-0.190359,-0.621744,-0.705154,0.215749,-0.564278,2.29,2.70,46.15,26.61,-0.098586,-0.195548,0.010950,-0.179014,1.00,34.59,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE974X01010,0.196091,-0.121918,False,-0.023332,0.295918,-0.208668,False,-0.013120,0.340026,0.073360,True,0.062410,0.337350,-0.190359,False,-0.011345,False,False,False,False,False,False,26.61,46.15,27.44,0.00
UCOBANK,23.75,-0.075156,-0.138869,-0.056041,-0.189696,-0.446505,-0.768895,-0.191609,-0.689326,15.59,13.93,21.00,26.82,-0.051824,-0.125749,-0.118452,-0.178351,0.00,23.24,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE691A01018,0.168320,-0.075156,False,-0.023332,0.180608,-0.138869,False,-0.013120,0.292477,-0.056041,False,0.062410,0.275191,-0.189696,False,-0.011345,False,False,False,False,False,False,26.82,21.00,20.58,0.00
UNOMINDA,1284.00,0.009434,0.150950,0.260677,0.001404,0.027859,0.549077,0.783779,0.004264,69.85,87.73,72.14,55.51,0.032766,0.164070,0.198267,0.012749,4.00,62.16,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE405E01023,0.338636,0.009434,True,-0.023332,0.274916,0.150950,True,-0.013120,0.332591,0.260677,True,0.062410,0.329261,0.001404,True,-0.011345,True,True,False,False,False,False,55.51,72.14,55.51,0.00
UPL,580.00,0.021127,-0.047071,-0.047306,-0.173377,0.082029,-0.160420,-0.150459,-0.528811,75.68,44.28,22.66,28.90,0.044459,-0.033951,-0.109717,-0.162032,1.00,26.61,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE628A01036,0.257554,0.021127,True,-0.023332,0.293427,-0.047071,False,-0.013120,0.314412,-0.047306,False,0.062410,0.327862,-0.173377,False,-0.011345,False,False,False,False,False,False,28.90,22.66,29.94,0.00
UTIAMC,895.00,0.002857,-0.058143,-0.067563,-0.337086,0.018017,-0.269345,-0.227474,-1.181649,66.32,41.16,18.50,8.73,0.026189,-0.045023,-0.129973,-0.325741,1.00,12.22,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE094J01016,0.158588,0.002857,True,-0.023332,0.215867,-0.058143,False,-0.013120,0.297012,-0.067563,False,0.062410,0.285267,-0.337086,False,-0.011345,False,False,False,False,False,False,8.73,18.50,6.65,0.00
ULTRACEMCO,11014.00,-0.038079,-0.031055,-0.007658,-0.111201,-0.196318,-0.163743,-0.030870,-0.476628,42.83,49.06,28.69,37.84,-0.014746,-0.017935,-0.070069,-0.099856,0.00,33.18,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE481G01011,0.193964,-0.038079,False,-0.023332,0.189655,-0.031055,False,-0.013120,0.248084,-0.007658,False,0.062410,0.233307,-0.111201,False,-0.011345,False,False,False,False,False,False,37.84,28.69,32.85,0.00
UNIONBANK,176.56,-0.055324,0.004552,0.005467,0.320371,-0.270510,0.015525,0.015542,0.971593,25.99,59.88,31.39,82.12,-0.031992,0.017672,-0.056943,0.331716,3.00,62.04,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE692A01016,0.204516,-0.055324,False,-0.023332,0.293189,0.004552,True,-0.013120,0.351746,0.005467,True,0.062410,0.329738,0.320371,True,-0.011345,False,True,False,False,False,False,82.12,31.39,83.16,0.00
UBL,1251.50,-0.076247,-0.067367,-0.225892,-0.302397,-0.382497,-0.342489,-1.017651,-1.385986,15.18,37.84,0.83,12.06,-0.052915,-0.054247,-0.288303,-0.291052,0.00,5.57,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE686F01025,0.199341,-0.076247,False,-0.023332,0.196699,-0.067367,False,-0.013120,0.221974,-0.225892,False,0.062410,0.218182,-0.302397,False,-0.011345,False,False,False,False,False,False,12.06,0.83,2.08,0.00
UNITDSPR,1371.00,-0.100394,0.038243,0.040686,0.039424,-0.579964,0.182239,0.161692,0.166395,6.65,68.81,38.88,59.04,-0.077062,0.051363,-0.021724,0.050769,3.00,51.39,True,,0,2025-03-18,2026-09-18,373,False,NSE_EQ|INE854D01024,0.173103,-0.100394,False,-0.023332,0.209852,0.038243,True,-0.013120,0.251627,0.040686,True,0.062410,0.236929,0.039424,True,-0.011345,False,True,False,False,False,False,59.04,38.88,61.12,0.00
