schema_version,capture_timestamp,spot,india_vix,nifty_index_last,index_day_high,index_day_low
2.1.0,2026-08-28T12:55:40+05:30,24102.35,10.97,24102.35,24188.3,24076.85
2.1.0,2026-08-28T12:56:20+05:30,24102.45,10.97,24102.45,24188.3,24076.85
2.1.0,2026-08-28T12:56:40+05:30,24103.65,10.92,24103.65,24188.3,24076.85
2.1.0,2026-08-28T12:57:20+05:30,24102.55,10.93,24102.55,24188.3,24076.85
2.1.0,2026-08-28T12:57:40+05:30,24102.8,10.94,24102.8,24188.3,24076.85
2.1.0,2026-08-28T12:58:20+05:30,24101.9,11.0,24101.9,24188.3,24076.85
2.1.0,2026-08-28T12:58:40+05:30,24102.65,10.97,24102.65,24188.3,24076.85
2.1.0,2026-08-28T12:59:20+05:30,24101.0,10.99,24101.0,24188.3,24076.85
2.1.0,2026-08-28T12:59:39+05:30,24097.85,11.0,24097.85,24188.3,24076.85
2.1.0,2026-08-28T13:00:20+05:30,24097.65,10.99,24097.65,24188.3,24076.85
2.1.0,2026-08-28T13:00:39+05:30,24098.4,10.99,24098.4,24188.3,24076.85
2.1.0,2026-08-28T13:01:20+05:30,24097.3,11.0,24097.3,24188.3,24076.85
2.1.0,2026-08-28T13:01:40+05:30,24097.3,11.0,24097.3,24188.3,24076.85
2.1.0,2026-08-28T13:02:20+05:30,24095.55,11.02,24095.55,24188.3,24076.85
2.1.0,2026-08-28T13:02:39+05:30,24094.4,11.02,24094.4,24188.3,24076.85
2.1.0,2026-08-28T13:03:19+05:30,24095.1,11.03,24095.1,24188.3,24076.85
2.1.0,2026-08-28T13:03:40+05:30,24096.65,11.03,24096.65,24188.3,24076.85
2.1.0,2026-08-28T13:04:20+05:30,24094.8,11.0,24094.8,24188.3,24076.85
2.1.0,2026-08-28T13:04:40+05:30,24092.7,11.01,24092.7,24188.3,24076.85
2.1.0,2026-08-28T13:05:20+05:30,24093.75,10.99,24093.75,24188.3,24076.85
2.1.0,2026-08-28T13:05:40+05:30,24091.4,10.99,24091.4,24188.3,24076.85
2.1.0,2026-08-28T13:06:20+05:30,24091.0,11.02,24091.0,24188.3,24076.85
2.1.0,2026-08-28T13:06:40+05:30,24092.9,11.01,24092.9,24188.3,24076.85
2.1.0,2026-08-28T13:07:20+05:30,24095.05,10.99,24095.05,24188.3,24076.85
2.1.0,2026-08-28T13:07:40+05:30,24096.6,10.98,24096.6,24188.3,24076.85
2.1.0,2026-08-28T13:08:20+05:30,24100.5,10.88,24100.5,24188.3,24076.85
2.1.0,2026-08-28T13:08:40+05:30,24098.35,10.9,24098.35,24188.3,24076.85
2.1.0,2026-08-28T13:09:20+05:30,24099.5,10.86,24099.5,24188.3,24076.85
2.1.0,2026-08-28T13:09:39+05:30,24100.25,10.87,24100.25,24188.3,24076.85
2.1.0,2026-08-28T13:10:20+05:30,24103.75,10.85,24103.75,24188.3,24076.85
2.1.0,2026-08-28T13:10:40+05:30,24103.1,10.87,24103.1,24188.3,24076.85
2.1.0,2026-08-28T13:11:20+05:30,24105.45,10.81,24105.45,24188.3,24076.85
2.1.0,2026-08-28T13:11:40+05:30,24107.55,10.8,24107.55,24188.3,24076.85
2.1.0,2026-08-28T13:12:20+05:30,24108.25,10.79,24108.25,24188.3,24076.85
2.1.0,2026-08-28T13:12:40+05:30,24101.85,10.81,24101.85,24188.3,24076.85
2.1.0,2026-08-28T13:13:20+05:30,24105.15,10.81,24105.15,24188.3,24076.85
2.1.0,2026-08-28T13:13:40+05:30,24106.2,10.82,24106.2,24188.3,24076.85
2.1.0,2026-08-28T13:14:20+05:30,24104.1,10.8,24104.1,24188.3,24076.85
2.1.0,2026-08-28T13:14:40+05:30,24104.7,10.8,24104.7,24188.3,24076.85
