schema_version,snapshot_id,capture_timestamp,source_timestamp,timezone,source,expiry,chain_hash,source_age_seconds,source_is_stale,spot_chain,chain_data_age_seconds,chain_frozen,minutes_to_close,spot_high_1m,spot_low_1m,spot_samples_1m,nifty_index_last,nifty_day_open,nifty_day_high,nifty_day_low,nifty_previous_close,nifty_year_high,nifty_year_low,india_vix,vix_day_open,vix_day_high,vix_day_low,vix_previous_close,current_atm,session_anchor_atm,scheduled_event_note,external_source,external_source_timestamp,external_age_seconds,external_is_stale,nifty_futures,futures_open_1m,futures_high_1m,futures_low_1m,futures_close_1m,futures_volume_1m,futures_vwap,true_futures_context_available
2.1.0,20260828_131103_000,2026-08-28T13:11:03+05:30,2026-08-28T13:11:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,c5aad6004e8d36c2,0.0,False,24104.35,0.0,False,138.9,24104.35,24103.1,3,24104.15,24122.6,24188.3,24076.85,24090.85,,,10.87,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_131203_000,2026-08-28T13:12:03+05:30,2026-08-28T13:12:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,c6c0a9cb339e5b51,0.0,False,24108.75,0.0,False,137.9,24108.75,24105.45,3,24108.6,24122.6,24188.3,24076.85,24090.85,,,10.8,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_131303_000,2026-08-28T13:13:03+05:30,2026-08-28T13:13:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,90cd11f83c5c5061,0.0,False,24104.1,0.0,False,136.9,24108.25,24101.85,3,24104.4,24122.6,24188.3,24076.85,24090.85,,,10.81,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_131403_000,2026-08-28T13:14:03+05:30,2026-08-28T13:14:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,5d6175e418b6dfac,0.0,False,24105.25,0.0,False,135.9,24106.2,24105.15,3,24105.0,24122.6,24188.3,24076.85,24090.85,,,10.8,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_131503_001,2026-08-28T13:15:03+05:30,2026-08-28T13:15:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,3c50e7645555aa8d,0.0,False,24103.55,0.0,False,134.9,24104.7,24103.55,3,24103.6,24122.6,24188.3,24076.85,24090.85,,,10.77,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_131603_000,2026-08-28T13:16:03+05:30,2026-08-28T13:16:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,a3656f8ca3a00bd8,0.0,False,24104.9,0.0,False,133.9,24104.9,24102.15,3,24104.95,24122.6,24188.3,24076.85,24090.85,,,10.79,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_131703_001,2026-08-28T13:17:03+05:30,2026-08-28T13:17:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,602b1d3cbf2d1f28,0.0,False,24102.45,0.0,False,132.9,24105.0,24101.45,3,24102.35,24122.6,24188.3,24076.85,24090.85,,,10.79,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_131803_000,2026-08-28T13:18:03+05:30,2026-08-28T13:18:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,82eba89cfefa54a4,0.0,False,24104.1,0.0,False,131.9,24104.1,24101.55,3,24104.35,24122.6,24188.3,24076.85,24090.85,,,10.8,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_131903_011,2026-08-28T13:19:03+05:30,2026-08-28T13:19:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,20593e55a87ecfb4,0.0,False,24107.9,0.0,False,130.9,24107.9,24104.85,3,24108.95,24122.6,24188.3,24076.85,24090.85,,,10.81,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
2.1.0,20260828_132003_000,2026-08-28T13:20:03+05:30,2026-08-28T13:20:03+05:30,Asia/Kolkata,UPSTOX,2026-09-01,7f263f6f6934cf31,0.0,False,24107.2,0.0,False,129.9,24109.45,24107.2,3,24107.8,24122.6,24188.3,24076.85,24090.85,,,10.8,11.07,11.14,10.54,11.07,24100,24150,,,,,,,,,,,,,False
